Type,ID,Name,Address,ReviewNum,LN(ReviewNum),Level,FlavorScore,EnvironmentScore,ServiceScore,5StarReviewNum,ApplauseRate,High-qualityMerchant,District,Area,PopularArea,PictureNum,ParkingNum,ParkingInfo,GroupPurchase,Promotion,AdvanceReservation,TakeOut,PerConsumption,BusinessDay,LN(BusinessDay),Label and Num,FunctionLabelScore,FlavorLabelScore,EnvironmentLabelScore,DishesLabelScore,ServiceLabelScore,Cost-effectiveLabelScore
粤菜,2954893,炳胜品味(珠江新城店),珠江新城冼村路2号首府大厦1-4楼(省博物馆对面),7145,8.87416809,4,7.8,8.6,7.3,2666,37.76,0,天河区,珠江新城,1,1995,193,1,0,0,0,0,145,2874,7.963460067,回头客（347）干净卫生（80）请客（297）上菜慢（190）深夜食堂（132）不推荐（81）家庭聚餐（67）公司聚餐（59）朋友聚餐（54）下午茶（47）,0.800590842,0,0.059084195,0,0.140324963,0
粤菜,580743,阿一鲍鱼(天河北旗舰店),天河北路439号嘉怡苑二座1-2楼(近天河东路),2328,7.752764809,4.5,8.6,8.2,8.5,1308,57.44,1,天河区,天河北,1,344,44,1,1,0,0,0,311,2873,7.963112059,回头客（90）上菜快（31）干净卫生（15）有萌宠（4）请客（56）工作餐（18）朋友聚餐（13）家庭聚餐（8）下午茶（6）年会（4）,0.795918367,0,0.07755102,0,0.126530612,0
粤菜,3500059,麓苑轩酒家,麓苑路36号省经贸委招待所内(近三荣大厦、广州血液中心),2934,7.984121959,4.5,8.8,7.9,8.1,1644,56.05,1,越秀区,环市东,0,723,15,1,1,1,0,0,108,437,6.079933195,菜品健康（337）回头客（185）干净卫生（69）上菜快（16）有萌宠（3）家庭聚餐（15）不推荐（14）朋友聚餐（11）请客（7）公司聚餐（3）,0.356060606,0.510606061,0.109090909,0,0.024242424,0
粤菜,96379038,阿呆雷州羊庄●爽嫩羊腩清汤火锅(羊肉主题店),黄石东路493号空港大道江夏美食广场B1栋(江夏地铁B出口往南600米),16,2.772588722,3.5,8.2,7.2,7.6,7,43.75,0,白云区,黄石,0,14,1,1,1,0,0,0,57,49,3.891820298,味道赞（6）服务热情（4）羊肉（11）,0,0.285714286,0,0.523809524,0.19047619,0
粤菜,93559683,禄运茶居(猎德店),珠江新城花城大道84号优托邦1座4楼409-5(猎德地铁站A出口),293,5.680172609,5,9.1,9.1,8.8,161,54.95,1,天河区,珠江新城,1,238,0,0,1,0,0,0,56,42,3.737669618,干净卫生（12）上菜快（9）回头客（6）牛肉赞（5）高大上（4）下午茶（20）不推荐（9）闺蜜聚会（4）朋友聚餐（3）开放厨房（3）,0.577464789,0.070422535,0.225352113,0,0.126760563,0
粤菜,80614370,和苑酒家(花城大道店),花城大道68号环球都会广场3层3M层,305,5.720311777,5,9.1,9.1,9.2,203,66.56,1,天河区,天河区,0,197,0,0,1,0,0,0,228,263,5.572154032,回头客（22）高大上（16）海鲜棒（10）干净卫生（8）牛肉赞（5）下午茶（8）请客（7）上菜慢（5）不推荐（4）朋友聚餐（3）,0.5,0.170454545,0.272727273,0,0.056818182,0
粤菜,27162190,點都德·德誉楼,中山四路246号信德大厦五楼(城隍庙旁),6155,8.725020039,5,9.1,8.8,8.5,3605,58.57,1,越秀区,北京路,1,2253,6,1,1,0,0,1,73,802,6.687108608,回头客（391）上菜快（113）干净卫生（68）下午茶（298）不推荐（66）朋友聚餐（23）家庭聚餐（13）深夜食堂（10）闺蜜聚会（8）,0.815682281,0,0.069246436,0,0.115071283,0
粤菜,56985236,點都德(花城楼),珠江新城花城大道16号(凯蓝大厦2楼),4026,8.300528606,4.5,9,8.9,8.3,2234,55.49,1,天河区,珠江新城,1,1786,1,1,1,0,0,1,85,730,6.593044534,回头客（202）上菜快（85）干净卫生（58）下午茶（267）不推荐（52）朋友聚餐（28）请客（14）家庭聚餐（12）闺蜜聚会（11）深夜食堂（6）,0.802486188,0,0.080110497,0,0.117403315,0
粤菜,91982329,陶陶居酒家(西塔国金店),珠江西路5号国金天地5楼,1187,7.079184395,4.5,9,9,8.4,571,48.1,1,天河区,珠江新城,1,894,0,0,0,0,0,0,104,187,5.231108617,回头客（56）上菜快（27）干净卫生（20）下午茶（94）不推荐（23）请客（10）朋友聚餐（8）家庭聚餐（7）现做现卖（4）深夜食堂（3）,0.813492063,0,0.079365079,0,0.107142857,0
粤菜,520094,白天鹅宾馆(玉堂春暖餐厅),荔灣區沙面大街1号白天鹅宾馆3楼(近六二三路),1085,6.989335266,5,9,9.3,9.1,608,59.14,1,荔湾区,沙面,0,645,21,1,0,0,0,0,250,2940,7.98616486,回头客（36）干净卫生（15）有萌宠（5）下午茶（44）请客（12）不推荐（9）上菜慢（7）家庭聚餐（5）现做现卖（4）年会（4）,0.808510638,0,0.141843972,0,0.04964539,0
粤菜,38071514,广州柏悦酒店－悦景轩,珠江新城华夏路16号广州柏悦酒店68层(靠近富力盈凯广场),281,5.638354669,5,9.1,9.3,9.1,187,66.55,1,天河区,珠江新城,1,204,1,1,0,0,0,0,525,700,6.551080335,高大上（16）海鲜棒（8）干净卫生（6）回头客（5）请客（11）开放厨房（9）下午茶（6）现做现卖（6）上菜慢（4）不推荐（4）,0.546666667,0.106666667,0.293333333,0,0.053333333,0
粤菜,1918948,私厨·炳胜集团,天河东路178号(近太古汇),663,6.49677499,5,8.7,8.7,8.5,279,49.64,1,天河区,天河城/体育中心,1,258,30,1,0,0,0,0,198,2539,7.839525582,回头客（28）海鲜棒（9）干净卫生（3）请客（37）深夜食堂（11）上菜慢（11）公司聚餐（5）不推荐（5）家庭聚餐（4）朋友聚餐（3）,0.801724138,0.077586207,0.025862069,0,0.094827586,0
粤菜,90967824,泓沛湛江农家鸡煲,南泰路589号附近,140,4.941642423,5,9.2,8.7,8.9,81,57.86,1,海珠区,江南大道,1,128,0,0,1,0,0,1,64,196,5.278114659,味道赞（31）服务热情（27）干净卫生（20）牛肉赞（9）分量足（9）性价比高（8）上菜快（7）价格实惠（6）回头客（4）江南风情（15）,0.029411765,0.294117647,0.257352941,0,0.25,0.169117647
粤菜,91009319,毕德寮(富力盈通店),华夏路30号富力盈通大厦四楼401-409房,1588,7.370230642,4.5,8.5,9.1,8.8,825,51.95,1,天河区,珠江新城,1,1272,2,1,0,0,0,1,85,171,5.141663557,回头客（38）干净卫生（35）上菜快（29）下午茶（110）不推荐（45）文艺清新（15）朋友聚餐（12）闺蜜聚会（10）请客（4）家庭聚餐（4）,0.729452055,0,0.171232877,0,0.099315068,0
粤菜,21007651,點都德汇点楼,珠江新城花城大道86号高德汇2座4楼(近猎德地铁站A出口),13002,9.472858471,4.5,9,8.6,8.3,7452,57.31,1,天河区,兴盛路/跑马场,1,3261,18,1,1,0,0,1,83,1079,6.983789965,回头客（821）上菜快（234）干净卫生（91）下午茶（651）不推荐（101）深夜食堂（45）朋友聚餐（43）现做现卖（22）闺蜜聚会（17）,0.83814741,0,0.045318725,0,0.116533865,0
粤菜,517219,利苑酒家(宜安广场店),建设六马路33号宜安广场4楼(近花园酒店),1747,7.46565531,5,8.8,8.7,8.7,580,54.67,1,越秀区,小北/淘金,0,449,218,1,0,0,0,0,240,91,4.510859507,回头客（81）干净卫生（13）上菜快（7）有萌宠（4）请客（85）下午茶（52）不推荐（14）工作餐（9）朋友聚餐（7）家庭聚餐（6）,0.913669065,0,0.061151079,0,0.025179856,0
粤菜,77343125,點都德(和兴楼店),林和中路148号(嘉逸豪庭酒店旁),932,6.837332815,4.5,8.8,8.4,8,464,49.79,1,天河区,天河区,0,638,0,0,0,0,0,1,83,190,5.247024072,回头客（46）肉类好（34）点心好（34）干净卫生（21）下午茶（63）不推荐（20）上菜慢（16）朋友聚餐（7）请客（4）深夜食堂（3）,0.576612903,0.274193548,0.084677419,0,0.064516129,0
粤菜,73412226,西楚牛香·砂锅牛腩煲,汉溪长隆保利大都汇B7栋102-104号,327,5.789960171,4.5,8.9,9,9,232,70.95,1,番禺区,长隆,0,161,1,1,1,0,0,1,53,320,5.768320996,干净卫生（15）分量足（15）回头客（11）点心好（5）牛肉赞（4）上菜快（3）主食赞（3）朋友聚餐（3）请客（3）不推荐（3）,0.307692308,0.184615385,0.230769231,0,0.046153846,0.230769231
粤菜,91968244,记兴菜馆·桑拿菜,南洲北路1542号(紫荆医院对面向东50米),148,4.997212274,4.5,9,8.6,8.9,104,70.27,1,海珠区,东晓南,0,96,0,0,1,0,0,0,64,201,5.303304908,味道赞（48）服务热情（43）菜品健康（31）干净卫生（9）性价比高（6）价格实惠（5）牛肉赞（4）饮品赞（3）分量少（4）,0,0.562091503,0.058823529,0,0.281045752,0.098039216
粤菜,23461615,陶陶居酒家(正佳广场店),天河路228号正佳广场6层C059铺,7993,8.986321438,4.5,8.6,8.6,8.2,4054,50.72,1,天河区,天河城/体育中心,1,3918,12,1,0,0,0,0,96,891,6.792344427,回头客（244）上菜快（187）干净卫生（58）下午茶（458）不推荐（120）朋友聚餐（45）现做现卖（34）闺蜜聚会（33）请客（29）文艺清新（14）,0.782169891,0,0.060555088,0,0.157275021,0
粤菜,68148250,成记农庄●鹿肉宴,石壁街道钟韦公路高铁桥底(钟村屠场公交站附近),389,5.963579344,5,9.2,8.4,8.8,300,77.12,1,番禺区,钟村,0,291,0,0,1,0,0,0,81,332,5.805134969,味道赞（109）菜品不错（24）价格实惠（17）干净卫生（16）停车方便（9）回头客（5）主食赞（5）上菜快（4）海鲜棒（3）朋友聚餐（5）,0.050761421,0.715736041,0.081218274,0,0.065989848,0.086294416
粤菜,518037,惠食佳(东风店),东风东路760号,2106,7.652545693,4.5,8.8,8,7.6,872,46.56,1,越秀区,区庄/动物园,0,966,80,1,0,0,0,1,170,2947,7.988542983,回头客（92）干净卫生（38）上菜快（16）请客（57）不推荐（33）深夜食堂（14）朋友聚餐（11）家庭聚餐（9）公司聚餐（7）文艺清新（5）,0.790780142,0,0.15248227,0,0.056737589,0
粤菜,3579202,范阳轩美味居,金穗路冼村车站旁(毋米粥马路对面),222,5.402677382,4.5,9,6.9,8,94,42.34,0,天河区,珠江新城,1,136,1,1,0,0,0,0,94,2918,7.978653729,味道赞（54）菜品不错（17）回头客（10）有萌宠（4）海鲜棒（4）牛肉赞（3）高大上（3）分量足（3）隐于浮世（4）请客（3）,0.123809524,0.742857143,0.104761905,0,0,0.028571429
粤菜,58401035,806农庄●蛇焖土鸡煲,芳村葵逢凤溪村423号之1(御宝龙假日酒店隔壁),239,5.476463552,4.5,9,8.1,8.7,149,62.34,1,荔湾区,芳村,0,143,0,0,1,0,1,1,105,646,6.470799504,味道赞（64）服务热情（48）肉类好（17）干净卫生（13）菜品不错（9）海鲜棒（6）回头客（4）分量足（4）朋友聚餐（4）上菜慢（3）,0.046511628,0.558139535,0.075581395,0,0.296511628,0.023255814
粤菜,10349463,點都德(喜粤楼),中山一路57号(杨箕地铁站A出口),12027,9.394909401,4.5,9,8.6,8.1,6592,54.81,1,越秀区,东风东/杨箕,0,2600,14,1,1,0,0,1,73,1470,7.29301768,回头客（984）上菜快（204）干净卫生（70）下午茶（643）不推荐（91）朋友聚餐（74）闺蜜聚会（28）家庭聚餐（24）请客（16）深夜食堂（13）,0.870693723,0,0.03303445,0,0.096271826,0
粤菜,48072835,點都德(汇胜楼),天河路598号百脑汇大厦四层(岗顶地铁站C出口),4163,8.333991247,4.5,8.9,8.5,8.2,2331,55.99,1,天河区,石牌/龙口,1,1594,0,0,1,0,0,1,81,708,6.562444094,回头客（240）上菜快（84）干净卫生（33）下午茶（212）不推荐（46）朋友聚餐（25）家庭聚餐（10）请客（9）闺蜜聚会（8）现做现卖（5）,0.823795181,0,0.049698795,0,0.126506024,0
粤菜,77450748,椰林飘香-海南创意融合菜,中石化大厦三楼(体育西路191号佳兆业广场三楼，地铁林和西B出口直走过马路),819,6.708084084,4.5,8.8,9,8.5,610,74.48,1,天河区,天河城/体育中心,1,417,0,0,1,0,0,1,92,264,5.575949103,回头客（25）上菜快（13）海鲜棒（9）干净卫生（5）闺蜜聚会（5）不推荐（5）文艺清新（4）朋友聚餐（3）请客（3）家庭聚餐（3）,0.557142857,0.128571429,0.128571429,0,0.185714286,0
粤菜,11547361,美心翠园,天河东路75号3层(近太古汇),2482,7.816819966,4.5,8.8,9.1,8.8,1232,49.64,1,天河区,天河城/体育中心,1,1267,19,1,0,0,0,0,234,1626,7.39387829,回头客（98）干净卫生（29）上菜快（16）下午茶（102）请客（54）不推荐（34）闺蜜聚会（19）朋友聚餐（12）现做现卖（5）文艺清新（4）,0.861581921,0,0.093220339,0,0.04519774,0
粤菜,20840498,山海楼·绿(洛溪店),洛溪新城北环路88号(渔人码头五湖四海海鲜楼1楼),529,6.270988432,5,9.1,9.2,9.1,329,62.19,1,番禺区,洛溪,0,255,7,1,1,1,0,1,91,197,5.283203729,回头客（22）海鲜棒（15）干净卫生（8）高大上（5）主食赞（5）分量少（18）上菜慢（17）请客（5）家庭聚餐（5）不推荐（4）,0.346153846,0.192307692,0.125,0,0.163461538,0.173076923
